URI,ResourceType,Methods,Actions,Status,Manufacturer,Model,PartNumber,SerialNumber,UUID
/redfish/v1/JsonSchemas/ServiceRoot,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Session,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SessionCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SessionService,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/Settings,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmartPower,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcAccountServiceExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcChassisExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcChassisNVMESSDExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcDriveExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcEthernetInterfaceExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcEventDestinationExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcFanExtensions,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcFirmwareInventory,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
/redfish/v1/JsonSchemas/SmcFirmwareInventoryCollection,#JsonSchemaFile.v1_0_2.JsonSchemaFile,GET,,200,,,,,
